tenor,generator,quote
ON,USD SOFR FIXING,0.0078
1W,USD SOFR CURVE,0.0085475
2W,USD SOFR CURVE,0.009295
3W,USD SOFR CURVE,0.0100425
1M,USD SOFR CURVE,0.01079
2M,USD SOFR CURVE,0.0122
3M,USD SOFR CURVE,0.0141
4M,USD SOFR CURVE,0.01541
5M,USD SOFR CURVE,0.01668
6M,USD SOFR CURVE,0.01798
7M,USD SOFR CURVE,0.019195
8M,USD SOFR CURVE,0.02018
9M,USD SOFR CURVE,0.021055
10M,USD SOFR CURVE,0.021945
11M,USD SOFR CURVE,0.02266
1Y,USD SOFR CURVE,0.02334
1Y3M,USD SOFR CURVE,0.02474
1Y6M,USD SOFR CURVE,0.02552
1Y9M,USD SOFR CURVE,0.02589
2Y,USD SOFR CURVE,0.02626
2Y3M,USD SOFR CURVE,
2Y6M,USD SOFR CURVE,
2Y9M,USD SOFR CURVE,
3Y,USD SOFR CURVE,0.02636
3Y3M,USD SOFR CURVE,
3Y6M,USD SOFR CURVE,
3Y9M,USD SOFR CURVE,
4Y,USD SOFR CURVE,0.026145
4Y3M,USD SOFR CURVE,
4Y6M,USD SOFR CURVE,
4Y9M,USD SOFR CURVE,
5Y,USD SOFR CURVE,0.026025
5Y3M,USD SOFR CURVE,
5Y6M,USD SOFR CURVE,
5Y9M,USD SOFR CURVE,
6Y,USD SOFR CURVE,0.026065
6Y3M,USD SOFR CURVE,
6Y6M,USD SOFR CURVE,
6Y9M,USD SOFR CURVE,
7Y,USD SOFR CURVE,0.026135
7Y3M,USD SOFR CURVE,
7Y6M,USD SOFR CURVE,
7Y9M,USD SOFR CURVE,
8Y,USD SOFR CURVE,0.026235
8Y3M,USD SOFR CURVE,
8Y6M,USD SOFR CURVE,
8Y9M,USD SOFR CURVE,
9Y,USD SOFR CURVE,0.026385
9Y3M,USD SOFR CURVE,
9Y6M,USD SOFR CURVE,
9Y9M,USD SOFR CURVE,
10Y,USD SOFR CURVE,0.02659
10Y3M,USD SOFR CURVE,
10Y6M,USD SOFR CURVE,
10Y9M,USD SOFR CURVE,
11Y,USD SOFR CURVE,0.02679
11Y3M,USD SOFR CURVE,
11Y6M,USD SOFR CURVE,
11Y9M,USD SOFR CURVE,
12Y,USD SOFR CURVE,0.026985
12Y3M,USD SOFR CURVE,
12Y6M,USD SOFR CURVE,
12Y9M,USD SOFR CURVE,
13Y,USD SOFR CURVE,
13Y3M,USD SOFR CURVE,
13Y6M,USD SOFR CURVE,
13Y9M,USD SOFR CURVE,
14Y,USD SOFR CURVE,
14Y3M,USD SOFR CURVE,
14Y6M,USD SOFR CURVE,
14Y9M,USD SOFR CURVE,
15Y,USD SOFR CURVE,0.02736
15Y3M,USD SOFR CURVE,
15Y6M,USD SOFR CURVE,
15Y9M,USD SOFR CURVE,
16Y3M,USD SOFR CURVE,
16Y6M,USD SOFR CURVE,
16Y9M,USD SOFR CURVE,
17Y,USD SOFR CURVE,
17Y3M,USD SOFR CURVE,
17Y6M,USD SOFR CURVE,
17Y9M,USD SOFR CURVE,
18Y,USD SOFR CURVE,
18Y3M,USD SOFR CURVE,
18Y6M,USD SOFR CURVE,
18Y9M,USD SOFR CURVE,
19Y,USD SOFR CURVE,
19Y3M,USD SOFR CURVE,
19Y6M,USD SOFR CURVE,
19Y9M,USD SOFR CURVE,
20Y,USD SOFR CURVE,0.027275
20Y3M,USD SOFR CURVE,
20Y6M,USD SOFR CURVE,
20Y9M,USD SOFR CURVE,
21Y,USD SOFR CURVE,
21Y3M,USD SOFR CURVE,
22Y6M,USD SOFR CURVE,
22Y9M,USD SOFR CURVE,
23Y,USD SOFR CURVE,
23Y3M,USD SOFR CURVE,
23Y6M,USD SOFR CURVE,
23Y9M,USD SOFR CURVE,
24Y,USD SOFR CURVE,
24Y3M,USD SOFR CURVE,
24Y6M,USD SOFR CURVE,
24Y9M,USD SOFR CURVE,
25Y,USD SOFR CURVE,0.02654
25Y3M,USD SOFR CURVE,
25Y6M,USD SOFR CURVE,
25Y9M,USD SOFR CURVE,
26Y,USD SOFR CURVE,
26Y3M,USD SOFR CURVE,
26Y6M,USD SOFR CURVE,
26Y9M,USD SOFR CURVE,
27Y,USD SOFR CURVE,
27Y3M,USD SOFR CURVE,
27Y6M,USD SOFR CURVE,
27Y9M,USD SOFR CURVE,
28Y,USD SOFR CURVE,
28Y3M,USD SOFR CURVE,
28Y6M,USD SOFR CURVE,
28Y9M,USD SOFR CURVE,
29Y,USD SOFR CURVE,
29Y3M,USD SOFR CURVE,
29Y6M,USD SOFR CURVE,
29Y9M,USD SOFR CURVE,
30Y,USD SOFR CURVE,0.02576
30Y3M,USD SOFR CURVE,
30Y6M,USD SOFR CURVE,
30Y9M,USD SOFR CURVE,
31Y,USD SOFR CURVE,
31Y3M,USD SOFR CURVE,
31Y6M,USD SOFR CURVE,
31Y9M,USD SOFR CURVE,
32Y,USD SOFR CURVE,
32Y3M,USD SOFR CURVE,
32Y6M,USD SOFR CURVE,
32Y9M,USD SOFR CURVE,
33Y,USD SOFR CURVE,
33Y3M,USD SOFR CURVE,
33Y6M,USD SOFR CURVE,
33Y9M,USD SOFR CURVE,
34Y,USD SOFR CURVE,
34Y3M,USD SOFR CURVE,
34Y6M,USD SOFR CURVE,
34Y9M,USD SOFR CURVE,
35Y,USD SOFR CURVE,
35Y3M,USD SOFR CURVE,
35Y6M,USD SOFR CURVE,
36Y,USD SOFR CURVE,
36Y3M,USD SOFR CURVE,
36Y6M,USD SOFR CURVE,
36Y9M,USD SOFR CURVE,
37Y,USD SOFR CURVE,
37Y3M,USD SOFR CURVE,
37Y6M,USD SOFR CURVE,
37Y9M,USD SOFR CURVE,
38Y,USD SOFR CURVE,
38Y3M,USD SOFR CURVE,
38Y6M,USD SOFR CURVE,
38Y9M,USD SOFR CURVE,
39Y,USD SOFR CURVE,
39Y3M,USD SOFR CURVE,
39Y6M,USD SOFR CURVE,
40Y,USD SOFR CURVE,0.02384
40Y3M,USD SOFR CURVE,
40Y6M,USD SOFR CURVE,
40Y9M,USD SOFR CURVE,
41Y,USD SOFR CURVE,
41Y3M,USD SOFR CURVE,
41Y6M,USD SOFR CURVE,
41Y9M,USD SOFR CURVE,
42Y,USD SOFR CURVE,
42Y3M,USD SOFR CURVE,
42Y6M,USD SOFR CURVE,
42Y9M,USD SOFR CURVE,
43Y,USD SOFR CURVE,
43Y3M,USD SOFR CURVE,
43Y6M,USD SOFR CURVE,
43Y9M,USD SOFR CURVE,
44Y,USD SOFR CURVE,
44Y3M,USD SOFR CURVE,
44Y6M,USD SOFR CURVE,
44Y9M,USD SOFR CURVE,
45Y,USD SOFR CURVE,
45Y3M,USD SOFR CURVE,
45Y6M,USD SOFR CURVE,
45Y9M,USD SOFR CURVE,
46Y,USD SOFR CURVE,
46Y3M,USD SOFR CURVE,
46Y6M,USD SOFR CURVE,
46Y9M,USD SOFR CURVE,
47Y,USD SOFR CURVE,
47Y3M,USD SOFR CURVE,
47Y6M,USD SOFR CURVE,
47Y9M,USD SOFR CURVE,
48Y,USD SOFR CURVE,
48Y3M,USD SOFR CURVE,
48Y6M,USD SOFR CURVE,
48Y9M,USD SOFR CURVE,
49Y,USD SOFR CURVE,
49Y3M,USD SOFR CURVE,
49Y6M,USD SOFR CURVE,
49Y9M,USD SOFR CURVE,
50Y,USD SOFR CURVE,0.02384
