yr_fracs,fxs
0.0,1.0698
0.0027397260273972603,1.06984148
0.005479452054794521,1.0698425
0.024657534246575345,1.070102
0.043835616438356165,1.07041
0.06301369863013699,1.0708245
0.09589041095890412,1.0715910000000002
0.1726027397260274,1.073279
0.25753424657534246,1.07529
0.3424657534246575,1.0773115
0.4246575342465753,1.0793055
0.5068493150684932,1.081347
0.5945205479452055,1.084257
0.6767123287671233,1.0863175
0.7534246575342466,1.088278
0.8410958904109589,1.0905565000000002
0.9205479452054794,1.092457
1.0054794520547945,1.094421
1.2657534246575342,1.1001735000000001
1.5123287671232877,1.10504
1.7671232876712328,1.1099045963279954
2.0164383561643837,1.1142941741180195
2.2657534246575346,1.1187086469775547
2.5150684931506855,1.12284689566306
2.7643835616438364,1.1267280342401491
3.0136986301369872,1.130349714919032
3.265753424657535,1.1341508462634031
3.515068493150686,1.137699592892038
3.7616438356164394,1.1410083716565582
4.013698630136988,1.1441823599197785
4.265753424657536,1.147733011879287
4.515068493150687,1.1511227067136753
4.76164383561644,1.1543401193880385
5.013698630136989,1.1574888746324479
5.271232876712331,1.160962015154898
5.5205479452054815,1.1643161324306843
5.769863013698632,1.1675761777970957
6.021917808219181,1.1707757519449198
6.273972602739729,1.1741717022687561
6.52328767123288,1.1773905408322156
6.769863013698633,1.1804292952591369
7.0219178082191815,1.1835929727762915
7.271232876712332,1.1865276427017342
7.520547945205483,1.1893786909996025
7.769863013698634,1.1921461352626472
8.019178082191784,1.1948293932206633
8.268493150684934,1.1975956230094864
8.517808219178084,1.2002932341046637
8.767123287671234,1.2029162811575036
9.016438356164384,1.205464240808833
9.268493150684932,1.2081779009507732
9.517808219178082,1.2108038662103995
9.767123287671232,1.2133657879961652
10.01917808219178,1.2158904917564128
10.276712328767124,1.2183550039410318
10.526027397260274,1.2207277358310922
10.767123287671232,1.2230094869668964
11.024657534246575,1.2252755600187204
11.276712328767124,1.2276789943913746
11.526027397260274,1.2300004995644414
11.772602739726027,1.232239900870379
12.024657534246575,1.2344704388744214
12.276712328767124,1.2369349676856685
12.526027397260274,1.2392635013208322
12.772602739726027,1.2414686564185178
13.024657534246575,1.243772236752098
13.273972602739725,1.246445773777437
13.523287671232875,1.249093299174966
13.772602739726025,1.2517114927546273
14.021917808219175,1.2543000525293626
14.273972602739724,1.2573937508996949
14.523287671232874,1.2604476998842675
14.769863013698627,1.2634577833147607
15.021917808219175,1.2665239147625942
15.273972602739724,1.2689911059113224
15.523287671232874,1.2713370034693483
15.769863013698627,1.2736222561219739
16.021917808219175,1.275922580000581
16.27945205479452,1.2786916948568776
16.52876712328767,1.2814157255359433
16.76986301369863,1.2840915087748839
17.027397260273972,1.2868083653672333
17.27945205479452,1.2899668965346034
17.52876712328767,1.293090910865563
17.77808219178082,1.2962113485067415
18.030136986301365,1.2994308361428246
18.279452054794515,1.302805504256911
18.528767123287665,1.3061861695697943
18.778082191780815,1.3095717492854353
19.027397260273965,1.3129621689022677
19.276712328767115,1.3164991373764927
19.526027397260265,1.3200463305994827
19.775342465753415,1.3236028163914753
20.024657534246565,1.3271684971394129
20.27671232876711,1.3298983714282675
20.52602739726026,1.3325299917950155
20.772602739726015,1.3351145987796886
21.02465753424656,1.337738240980841
21.276712328767108,1.3404352384053733
21.526027397260258,1.3430874799307555
21.775342465753408,1.3457235657627367
22.03287671232875,1.3483723324558916
22.284931506849297,1.3509827814299278
22.534246575342447,1.3535475882510317
22.7808219178082,1.3560671250432523
23.032876712328747,1.3586250417771535
23.284931506849293,1.3612038402130642
23.534246575342443,1.363682293879613
23.780821917808197,1.366061273171937
24.032876712328743,1.3685829761327106
24.282191780821893,1.3709675111598638
24.531506849315043,1.3733318337443297
24.780821917808193,1.37567639974581
25.030136986301343,1.3780010669145057
25.279452054794493,1.3800607436711034
25.528767123287643,1.382088497026575
25.778082191780793,1.3840904859994212
26.03013698630134,1.3860882136918058
26.282191780821886,1.388059458451185
26.531506849315036,1.38998275193813
26.77808219178079,1.391858721026381
27.030136986301336,1.3937494660144152
27.28767123287668,1.3956130472643302
27.53698630136983,1.397429136011947
27.77808219178079,1.3991985452005067
28.035616438356133,1.4009799262376426
28.28767123287668,1.4027334269950051
28.53698630136983,1.4044400288794976
28.783561643835583,1.4061004285507075
29.03561643835613,1.4077695471444467
29.287671232876676,1.4094456222485707
29.536986301369826,1.4110394677062676
29.786301369862976,1.412604562298077
30.035616438356126,1.414141009814289
