tenor,generator,rate
ON,EUR ESTER FIXING,-0.00583
TN,EUR ESTER FIXING,-0.00583
1W,EUR ESTER CURVE,-0.005751
2W,EUR ESTER CURVE,NULL
1M,EUR ESTER CURVE,-0.005795
2M,EUR ESTER CURVE,NULL
3M,EUR ESTER CURVE,-0.005455
4M,EUR ESTER CURVE,NULL
5M,EUR ESTER CURVE,NULL
6M,EUR ESTER CURVE,-0.003725
7M,EUR ESTER CURVE,NULL
8M,EUR ESTER CURVE,NULL
9M,EUR ESTER CURVE,-0.00164
10M,EUR ESTER CURVE,-0.001
11M,EUR ESTER CURVE,NULL
1Y,EUR ESTER CURVE,0.000505
1Y3M,EUR ESTER CURVE,NULL
1Y6M,EUR ESTER CURVE,NULL
1Y9M,EUR ESTER CURVE,NULL
2Y,EUR ESTER CURVE,0.007045
3Y,EUR ESTER CURVE,0.009355
4Y,EUR ESTER CURVE,0.010395
5Y,EUR ESTER CURVE,0.010915
6Y,EUR ESTER CURVE,0.01139
7Y,EUR ESTER CURVE,0.01187
8Y,EUR ESTER CURVE,0.01242
9Y,EUR ESTER CURVE,0.012995
10Y,EUR ESTER CURVE,0.013555
11Y,EUR ESTER CURVE,NULL
12Y,EUR ESTER CURVE,0.01458
13Y,EUR ESTER CURVE,NULL
14Y,EUR ESTER CURVE,NULL
15Y,EUR ESTER CURVE,0.01552
16Y,EUR ESTER CURVE,NULL
17Y,EUR ESTER CURVE,NULL
18Y,EUR ESTER CURVE,NULL
19Y,EUR ESTER CURVE,NULL
20Y,EUR ESTER CURVE,0.015535
21Y,EUR ESTER CURVE,NULL
22Y,EUR ESTER CURVE,NULL
23Y,EUR ESTER CURVE,NULL
24Y,EUR ESTER CURVE,NULL
25Y,EUR ESTER CURVE,0.014585
26Y,EUR ESTER CURVE,NULL
27Y,EUR ESTER CURVE,NULL
28Y,EUR ESTER CURVE,NULL
29Y,EUR ESTER CURVE,NULL
30Y,EUR ESTER CURVE,0.013565
